Private Entity,External URI,Confidence
http://mycustomkb.org/entity/Openai,http://www.wikidata.org/entity/Q21708200,0.99
http://mycustomkb.org/entity/Microsoft,http://www.wikidata.org/entity/Q2283,0.99
http://mycustomkb.org/entity/Google,http://www.wikidata.org/entity/Q95,0.99
http://mycustomkb.org/entity/Stanford,http://www.wikidata.org/entity/Q173813,0.99
http://mycustomkb.org/entity/Mit,http://www.wikidata.org/entity/Q49108,0.99
http://mycustomkb.org/entity/Oxford,http://www.wikidata.org/entity/Q34433,0.99
http://mycustomkb.org/entity/HanyFarid,http://www.wikidata.org/entity/Q5651441,0.99
http://mycustomkb.org/entity/Berkeley,http://www.wikidata.org/entity/Q484678,0.99
http://mycustomkb.org/entity/Farid,http://www.wikidata.org/entity/Q18978330,0.99
http://mycustomkb.org/entity/Guardian,http://www.wikidata.org/entity/Q11148,0.99
http://mycustomkb.org/entity/Neurips,http://www.wikidata.org/entity/Q1961016,0.99
http://mycustomkb.org/entity/36Kr,http://www.wikidata.org/entity/Q888,0.99
http://mycustomkb.org/entity/Iclr,http://www.wikidata.org/entity/Q30108190,0.99
http://mycustomkb.org/entity/VirginiaTech,http://www.wikidata.org/entity/Q65379,0.99
http://mycustomkb.org/entity/Walling,http://www.wikidata.org/entity/Q37573983,0.99
http://mycustomkb.org/entity/Nature,http://www.wikidata.org/entity/Q180445,0.99
http://mycustomkb.org/entity/Arxiv,http://www.wikidata.org/entity/Q118398,0.99
http://mycustomkb.org/entity/US,http://www.wikidata.org/entity/Q30,0.99
http://mycustomkb.org/entity/USNationalScienceFoundation,http://www.wikidata.org/entity/Q304878,0.99
http://mycustomkb.org/entity/Nairr,http://www.wikidata.org/entity/Q55985710,0.99
http://mycustomkb.org/entity/Washington,http://www.wikidata.org/entity/Q1223,0.99
http://mycustomkb.org/entity/DC,http://www.wikidata.org/entity/Q61,0.99
http://mycustomkb.org/entity/PuertoRico,http://www.wikidata.org/entity/Q1183,0.99
http://mycustomkb.org/entity/WhiteHouse,http://www.wikidata.org/entity/Q7903,0.99
http://mycustomkb.org/entity/Nsf,http://www.wikidata.org/entity/Q304878,0.99
http://mycustomkb.org/entity/Secure,http://www.wikidata.org/entity/Q1193479,0.99
http://mycustomkb.org/entity/TheNationalInstitutesOfHealth,http://www.wikidata.org/entity/Q59670239,0.99
http://mycustomkb.org/entity/TheUSDepartmentOfEnergy,http://www.wikidata.org/entity/Q29011723,0.99
http://mycustomkb.org/entity/Darpa,http://www.wikidata.org/entity/Q1767761,0.99
http://mycustomkb.org/entity/Nasa,http://www.wikidata.org/entity/Q309751,0.99
http://mycustomkb.org/entity/Nist,http://www.wikidata.org/entity/Q176691,0.99
http://mycustomkb.org/entity/Nih,http://www.wikidata.org/entity/Q390551,0.99
http://mycustomkb.org/entity/Doe,http://www.wikidata.org/entity/Q37110043,0.99
http://mycustomkb.org/entity/Noaa,http://www.wikidata.org/entity/Q214700,0.99
http://mycustomkb.org/entity/Usda,http://www.wikidata.org/entity/Q501542,0.99
http://mycustomkb.org/entity/Ed,http://www.wikidata.org/entity/Q1282258,0.99
http://mycustomkb.org/entity/Va,http://www.wikidata.org/entity/Q6243,0.99
http://mycustomkb.org/entity/Dod,http://www.wikidata.org/entity/Q25113837,0.99
http://mycustomkb.org/entity/Fda,http://www.wikidata.org/entity/Q204711,0.99
http://mycustomkb.org/entity/Osel,http://www.wikidata.org/entity/Q951302,0.99
http://mycustomkb.org/entity/TheCenterForDevicesAndRadiologicalHealth,http://www.wikidata.org/entity/Q51429954,0.99
http://mycustomkb.org/entity/Cdrh,http://www.wikidata.org/entity/Q5059585,0.99
http://mycustomkb.org/entity/Usgs,http://www.wikidata.org/entity/Q193755,0.99
http://mycustomkb.org/entity/Uspto,http://www.wikidata.org/entity/Q1459541,0.99
http://mycustomkb.org/entity/Aws,http://www.wikidata.org/entity/Q456157,0.99
http://mycustomkb.org/entity/Cerebras,http://www.wikidata.org/entity/Q66604886,0.99
http://mycustomkb.org/entity/Eleutherai,http://www.wikidata.org/entity/Q106289326,0.99
http://mycustomkb.org/entity/DataCommons,http://www.wikidata.org/entity/Q100423431,0.99
http://mycustomkb.org/entity/Ibm,http://www.wikidata.org/entity/Q37156,0.99
http://mycustomkb.org/entity/Meta,http://www.wikidata.org/entity/Q380,0.99
http://mycustomkb.org/entity/Nvidia,http://www.wikidata.org/entity/Q182477,0.99
http://mycustomkb.org/entity/ArgonneNationalLaboratory,http://www.wikidata.org/entity/Q649120,0.99
http://mycustomkb.org/entity/AiAlliance,http://www.wikidata.org/entity/Q123682886,0.99
http://mycustomkb.org/entity/TheWhiteHouseOfficeOfScienceAndTechnologyPolicy,http://www.wikidata.org/entity/Q59597753,0.99
http://mycustomkb.org/entity/Congress,http://www.wikidata.org/entity/Q10225,0.99
http://mycustomkb.org/entity/OfficeOfScienceAndTechnologyPolicy,http://www.wikidata.org/entity/Q3349673,0.99
http://mycustomkb.org/entity/LynneParker,http://www.wikidata.org/entity/Q113463419,0.99
http://mycustomkb.org/entity/DanielaBraga,http://www.wikidata.org/entity/Q107379540,0.99
http://mycustomkb.org/entity/OrenEtzioni,http://www.wikidata.org/entity/Q7101544,0.99
http://mycustomkb.org/entity/NewYorkUniversity,http://www.wikidata.org/entity/Q49210,0.99
http://mycustomkb.org/entity/Sequoia,http://www.wikidata.org/entity/Q1975652,0.99
http://mycustomkb.org/entity/MichaelLNorman,http://www.wikidata.org/entity/Q59393972,0.99
http://mycustomkb.org/entity/InformationTechnologyLaboratory,http://www.wikidata.org/entity/Q97040332,0.99
http://mycustomkb.org/entity/AlanTuring,http://www.wikidata.org/entity/Q7251,0.99
