Entity,Type,Source URL
Frederick H. Streitz,PERSON,https://www.nsf.gov/focus-areas/ai/nairr
Lawrence Livermore National Laboratory,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Elham Tabassi,PERSON,https://www.nsf.gov/focus-areas/ai/nairr
Information Technology Laboratory,ORG,https://www.nsf.gov/focus-areas/ai/nairr
National Institute of Standards and Technology,ORG,https://www.nsf.gov/focus-areas/ai/nairr
"July 28, 2021,",DATE,https://www.nsf.gov/focus-areas/ai/nairr
"August 30, 2021,",DATE,https://www.nsf.gov/focus-areas/ai/nairr
"October 25, 2021",DATE,https://www.nsf.gov/focus-areas/ai/nairr
"December 13, 2021,",DATE,https://www.nsf.gov/focus-areas/ai/nairr
"February 16, 2022",DATE,https://www.nsf.gov/focus-areas/ai/nairr
"April 8, 2022",DATE,https://www.nsf.gov/focus-areas/ai/nairr
"May 20, 2022",DATE,https://www.nsf.gov/focus-areas/ai/nairr
"July 25, 2022",DATE,https://www.nsf.gov/focus-areas/ai/nairr
"September 12, 2022",DATE,https://www.nsf.gov/focus-areas/ai/nairr
"October 21, 2022",DATE,https://www.nsf.gov/focus-areas/ai/nairr
"January 13, 2023",DATE,https://www.nsf.gov/focus-areas/ai/nairr
Fiscal Year 2027,DATE,https://www.nsf.gov/focus-areas/ai/nairr
AI Institutes Virtual Organization,ORG,https://www.nsf.gov/focus-areas/ai/nairr
NAIRR Task Force,ORG,https://www.nsf.gov/focus-areas/ai/nairr
2021,DATE,https://www.nsf.gov/focus-areas/ai/nairr
the past 75 years,DATE,https://scienceexchange.caltech.edu/topics/artificial-intelligence-research
Caltech,ORG,https://scienceexchange.caltech.edu/topics/artificial-intelligence-research
The Caltech Science Exchange,ORG,https://scienceexchange.caltech.edu/topics/artificial-intelligence-research
2022,DATE,https://scienceexchange.caltech.edu/topics/artificial-intelligence-research
Alan Turing,PERSON,https://scienceexchange.caltech.edu/topics/artificial-intelligence-research
